Algorithm,Size,Operations
Insertion ArrayList,100,198
Insertion ArrayList,200,398
Insertion ArrayList,400,75179
Insertion ArrayList,800,452517
Insertion ArrayList,1200,1181108
Insertion ArrayList,1600,2281623
Insertion LinkedList,100,198
Insertion LinkedList,200,398
Insertion LinkedList,400,75179
Insertion LinkedList,800,452517
Insertion LinkedList,1200,1181108
Insertion LinkedList,1600,2281623
Bubble ArrayList,100,99
Bubble ArrayList,200,199
Bubble ArrayList,400,106406
Bubble ArrayList,800,543231
Bubble ArrayList,1200,1308758
Bubble ArrayList,1600,2418449
Bubble LinkedList,100,99
Bubble LinkedList,200,199
Bubble LinkedList,400,106406
Bubble LinkedList,800,543231
Bubble LinkedList,1200,1308758
Bubble LinkedList,1600,2418449
Merge ArrayList,100,988
Merge ArrayList,200,2276
Merge ArrayList,400,5428
Merge ArrayList,800,12203
Merge ArrayList,1200,19133
Merge ArrayList,1600,26621
Merge LinkedList,100,988
Merge LinkedList,200,2276
Merge LinkedList,400,5428
Merge LinkedList,800,12203
Merge LinkedList,1200,19133
Merge LinkedList,1600,26621
Built-in ArrayList,100,99
Built-in ArrayList,200,199
Built-in ArrayList,400,423
Built-in ArrayList,800,870
Built-in ArrayList,1200,1324
Built-in ArrayList,1600,2185
